article,description,html,ierarch,is_available,name,price,region,time,valute
963C102E4104_C541,Deze rechte pantalon met omslag is uitgevoerd in trendy marineblauw stretchkatoenen corduroy. Het Christian Dior Atelier-lint aan de binnenkant van de tailleband draagt het onmiskenbare stempel van Dior.,https://www.dior.com/nl_be/products/couture-963C102E4104_C541-rechte-pantalon-van-stretchkatoen-christian-dior-atelier-lint,/heren/ready-to-wear/nieuw>,,"Rechte pantalon van stretchkatoen, Christian Dior Atelier-lint","€600,00",nl_be,10.49783968925476,€
963C142D4178_C900,Deze rechte pantalon van zwarte wollen twill is uitgevoerd met een opvallend metalen Christian Dior Atelier-plaatje en een verstelbare tailleband. Hierdoor staat dit kledingstuk garant voor een moderne look.,https://www.dior.com/nl_be/products/couture-963C142D4178_C900-wollen-pantalon-christian-dior-atelier-plaatje,/heren/ready-to-wear/nieuw>,,"Wollen pantalon, Christian Dior Atelier-plaatje","€900,00",nl_be,10.936435461044312,€
963J814B0454_C459,Dit poloshirt van piquékatoen is uitgevoerd in een opvallende paarse seizoenskleur voor een trendy look. De geborduurde zwarte bij draagt het onmiskenbare stempel van Dior.,https://www.dior.com/nl_be/products/couture-963J814B0454_C459-katoenen-poloshirt-geborduurde-bij,/heren/ready-to-wear/nieuw>,,"Katoenen poloshirt, geborduurde bij","€350,00",nl_be,11.139169216156006,€
963J814B0454_C459,"Ce polo en piqué de coton se distingue par son coloris saisonnier violet pour une allure mode. La broderie ""Abeille"" noire signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-963J814B0454_C459-polo-en-coton-broderie-abeille,/homme/pret-a-porter/nouveautes>,,"Polo en coton, Broderie ""Abeille""","350,00€",fr_fr,11.343902587890625,€
963C556A1581_C000,"Cette chemise en popeline de coton blanc se distingue par son ""Abeille"" en métal appliquée sur le col pour un look moderne.",https://www.dior.com/fr_fr/products/couture-963C556A1581_C000-chemise-en-coton-abeille-metal,/homme/pret-a-porter/nouveautes>,,"Chemise en coton, ""Abeille"" métal","450,00€",fr_fr,11.681328058242798,€
763C190A4339_C530,Deze rechte pantalon van zachte blauwe wollen stof zorgt voor een formele en chique uitstraling en mag in geen enkele herenkledingkast ontbreken.,https://www.dior.com/nl_be/products/couture-763C190A4339_C530-wollen-pantalon-recht-model,/heren/ready-to-wear/nieuw>,,"Wollen pantalon, recht model","€600,00",nl_be,11.722848176956177,€
963DS33T187X_C540,Deze rechte jeans van blauw stretchkatoenen denim is uitgevoerd met een opvallend metalen Christian Dior Atelier-plaatje op het ticketzakje en garandeert een moderne en tijdloze stijl. Het zwartleren jeanslabel met Dior-inscriptie op de achterkant draagt het onmiskenbare stempel van Dior.,https://www.dior.com/nl_be/products/couture-963DS33T187X_C540-jeans-van-stretchkatoen-metalen-christian-dior-atelier-plaatje,/heren/ready-to-wear/nieuw>,,"Jeans van stretchkatoen, metalen Christian Dior Atelier-plaatje","€590,00",nl_be,12.821692705154419,€
433C529W3580_C980,"Thème fort de la collection Printemps 2019, la broderie ""Dior by Dior"" blanche est placée à la poitrine de cette chemise en popeline de coton noir pour une allure mode.",https://www.dior.com/fr_fr/products/couture-433C529W3580_C980-chemise-en-coton-broderie-dior-by-dior,/homme/pret-a-porter/nouveautes>,,"Chemise en coton, Broderie ""Dior By Dior""","550,00€",fr_fr,12.905478715896606,€
963C143H4178_C900,Deze pantalon van zwarte wollen twill is er nu in een chique versie met een satijnen inzetstuk op de tailleband.,https://www.dior.com/nl_be/products/couture-963C143H4178_C900-wollen-pantalon-satijnen-inzetstuk,/heren/ready-to-wear/nieuw>,,"Wollen pantalon, satijnen inzetstuk","€750,00",nl_be,13.060774326324463,€
963C119E4408_C540,Deze joggingbroek met ritsjes bij de enkels is uitgevoerd in marineblauwe wollen stof voor een casual look.,https://www.dior.com/nl_be/products/couture-963C119E4408_C540-wollen-jogginbroek,/heren/ready-to-wear/nieuw>,,Wollen jogginbroek,"€900,00",nl_be,13.161445140838623,€
563C574K4180_C000,"""L'Abeille"", signature de la Maison Dior, est réinterprétée en broderie all-over ton sur ton sur cette chemise en popeline de coton blanc pour une allure mode.",https://www.dior.com/fr_fr/products/couture-563C574K4180_C000-chemise-en-coton-broderie-abeille,/homme/pret-a-porter/nouveautes>,,"Chemise en coton, Broderie ""Abeille""","950,00€",fr_fr,13.63495945930481,€
433C529W3580_C089,"Thème fort de la collection Printemps 2019, la broderie ""Dior by Dior"" noire est placée à la poitrine de cette chemise en popeline de coton blanc pour une allure mode.",https://www.dior.com/fr_fr/products/couture-433C529W3580_C089-chemise-en-coton-broderie-dior-by-dior,/homme/pret-a-porter/nouveautes>,,"Chemise en coton, Broderie ""Dior By Dior""","550,00€",fr_fr,13.785317420959473,€
433C529W1135_C089,"Thème fort de la collection Printemps 2019, la broderie ""Dior by Dior"" noire est placée au col de cette chemise en popeline de coton stretch blanc pour une allure mode et sophistiquée.",https://www.dior.com/fr_fr/products/couture-433C529W1135_C089-chemise-en-coton-stretch-broderie-dior-by-dior,/homme/pret-a-porter/nouveautes>,,"Chemise en coton stretch, Broderie ""Dior by Dior""","500,00€",fr_fr,13.812591552734375,€
733C516A1581_C000,"Classique du vestiaire Dior, cette chemise en popeline de coton blanc se distingue par son col inversé pour un look contemporain et élégant.",https://www.dior.com/fr_fr/products/couture-733C516A1581_C000-chemise-en-coton-col-inverse,/homme/pret-a-porter/nouveautes>,,"Chemise en coton, Col inversé","420,00€",fr_fr,13.973733186721802,€
733M205ZT578_C679,Ce pull à capuche en jersey de cachemire vert se distingue par son effet bord-côte en contraste noir à la capuche et assure ainsi un style élégant et décontracté.,https://www.dior.com/fr_fr/products/couture-733M205ZT578_C679-pull-en-cachemrie-detail-de-bord-cote,/homme/pret-a-porter/nouveautes>,,"Pull en cachemrie, Détail de bord-côte","1300,00€",fr_fr,14.651655673980713,€
833M655KT332_C580,"Véritable hommage au savoir-faire des ateliers Dior du 3 rue de Marignan à Paris, le ruban ""Christian Dior Atelier"" est appliqué aux épaules de ce pull col rond en maille jersey de laine bleue. La broderie ""Abeille"" blanche placée à la poitrine signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-833M655KT332_C580-pull-en-laine-ruban-christian-dior-atelier,/homme/pret-a-porter/nouveautes>,,"Pull en laine, Ruban ""Christian Dior Atelier""","550,00€",fr_fr,14.680315017700195,€
433C529X1223_C089,"Cette chemise en popeline stretch de coton blanc se distingue par sa broderie ""Signature"" point main en contraste noir, pour un look élégant et contemporain.",https://www.dior.com/fr_fr/products/couture-433C529X1223_C089-chemise-en-coton-stretch-broderie-signature,/homme/pret-a-porter/nouveautes>,,"Chemise en coton stretch, Broderie ""Signature""","480,00€",fr_fr,15.200695753097534,€
963C556A1581_C900,"Cette chemise en popeline de coton noir se distingue par son ""Abeille"" en métal appliquée sur le col pour un look moderne.",https://www.dior.com/fr_fr/products/couture-963C556A1581_C900-chemise-en-coton-abeille-metal,/homme/pret-a-porter/nouveautes>,,"Chemise en coton, ""Abeille"" métal","450,00€",fr_fr,15.435321569442749,€
963C548K1223_C083,Cette chemise en popeline stretch de coton blanc se distingue par ses détails de tissu changeant et de passepoil au col pour un look mode et élégant.,https://www.dior.com/fr_fr/products/couture-963C548K1223_C083-chemise-en-coton-stretch-opposition-tissu,/homme/pret-a-porter/nouveautes>,,"Chemise en coton stretch, Opposition tissu","580,00€",fr_fr,15.789897441864014,€
833M603BT128_C540,"Indispensable du vestiaire masculin, ce pull col roulé en maille de cachemire bleu marine se distingue par son ""Abeille"" brodée en ton sur ton. À porter sous une veste pour un look chic ou sous un blouson ou une veste en jean pour une tenue plus décontractée.",https://www.dior.com/fr_fr/products/couture-833M603BT128_C540-pull-en-cachemire-broderie-abeille,/homme/pret-a-porter/nouveautes>,,"Pull en cachemire, Broderie ""Abeille""","800,00€",fr_fr,15.81618046760559,€
863M623ZT904_C342,Ce pull col roulé en maille double de laine bordeaux se distingue par son détail de zip dévoilant une toile technique de nylon noir une fois ouvert. Ce détail subtil assure une allure moderne.,https://www.dior.com/fr_fr/products/couture-863M623ZT904_C342-pull-en-laine-detail-de-zip,/homme/pret-a-porter/nouveautes>,,"Pull en laine, Détail de zip","850,00€",fr_fr,16.168343544006348,€
863M623ZT904_C900,Ce pull col roulé en maille double de laine noire se distingue par son détail de zip dévoilant une toile technique de nylon noir une fois ouvert. Ce détail subtil assure une allure moderne et élégante.,https://www.dior.com/fr_fr/products/couture-863M623ZT904_C900-pull-en-laine-detail-de-zip,/homme/pret-a-porter/nouveautes>,,"Pull en laine, Détail de zip","850,00€",fr_fr,16.242221355438232,€
863M623ZT904_C542,Ce pull col roulé en maille double de laine bleu marine se distingue par son détail de zip dévoilant une toile technique de nylon noir une fois ouvert. Ce détail subtil assure une allure moderne et élégante.,https://www.dior.com/fr_fr/products/couture-863M623ZT904_C542-pull-en-laine-detail-de-zip,/homme/pret-a-porter/nouveautes>,,"Pull en laine, Détail de zip","850,00€",fr_fr,16.732694149017334,€
963M633WT666_C980,"Thème fort de la collection Printemps 2019, le motif ""Dior by Dior"" blanc est réinterprété en intarsia sur ce pull col rond en maille de laine noire.",https://www.dior.com/fr_fr/products/couture-963M633WT666_C980-pull-en-laine-intarsia-dior-by-dior,/homme/pret-a-porter/nouveautes>,,"Pull en laine,  Intarsia ""Dior by Dior""","550,00€",fr_fr,17.304723024368286,€
923M649AT938_C980,"Pull en jersey de laine noire avec patch visiteur ""Christian Dior""",https://www.dior.com/fr_fr/products/couture-923M649AT938_C980-pull-en-laine-patch-visiteur-christian-dior,/homme/pret-a-porter/nouveautes>,,"Pull en laine, patch visiteur ""Christian Dior""","550,00€",fr_fr,17.350844621658325,€
833M603BT128_C900,"Indispensable du vestiaire masculin, ce pull col roulé en maille de cachemire noir se distingue par son ""Abeille"" brodée en ton sur ton. À porter sous une veste pour un look chic, ou sous un blouson ou une veste en jean pour une tenue plus décontractée.",https://www.dior.com/fr_fr/products/couture-833M603BT128_C900-pull-en-cachemire-broderie-abeille,/homme/pret-a-porter/nouveautes>,,"Pull en cachemire, Broderie ""Abeille""","800,00€",fr_fr,17.939566135406494,€
963C307S4394_C979,"Ce manteau en drap de cachemire noir se distingue par son élégant col pointe de satin noir et par son étiquette ""Christian Dior Atelier"" brodée au bas de manche. Cette pièce, idéale pour accompagner une tenue du soir, assure ainsi un look élégant.",https://www.dior.com/fr_fr/products/couture-963C307S4394_C979-manteau-en-cachemire-col-en-satin,/homme/pret-a-porter/nouveautes>,,"Manteau en cachemire, Col en satin","2950,00€",fr_fr,18.196775913238525,€
733M601BT666_C440,"Ce pull col rond en maille fine de laine violette se distingue par son ""Abeille"" brodée en ton sur ton. Ce détail signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-733M601BT666_C440-pull-en-laine-broderie-abeille,/homme/pret-a-porter/nouveautes>,,"Pull en laine, Broderie ""Abeille""","450,00€",fr_fr,18.240822315216064,€
963M233ZT578_C980,"Ce pull zippé en jersey de cachemire noir se distingue par son élégant col montant. Nouvel indispensable du vestiaire masculin, cette pièce assure un style élégant et décontracté.",https://www.dior.com/fr_fr/products/couture-963M233ZT578_C980-pull-en-cachemire-col-montant,/homme/pret-a-porter/nouveautes>,,"Pull en cachemire, Col montant","1050,00€",fr_fr,19.094208002090454,€
963M642KT928_C588,"Ce pull col rond en maille de laine bleue se distingue par ses boutons ""Abeille"" en métal placés à l'épaule gauche. Ses rayures bicolores assurent un look moderne et décontracté à cette pièce.",https://www.dior.com/fr_fr/products/couture-963M642KT928_C588-pull-en-laine-boutons-abeille,/homme/pret-a-porter/nouveautes>,,"Pull en laine, Boutons ""Abeille""","1150,00€",fr_fr,19.817009210586548,€
833C301Z4418_C379,"Cette parka en toile de nylon bordeaux est proposée dans un tissu technique avec effet changeant qui crée différents jeux de reflets et de couleurs, assurant une allure mode. ""L'Abeille"" en métal à la poitrine signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-833C301Z4418_C379-parka-en-nylon-effet-changeant,/homme/pret-a-porter/nouveautes>,,"Parka en nylon, Effet Changeant","2300,00€",fr_fr,21.252941370010376,€
963C556A1581_C000,Dit overhemd van wit katoenpopeline heeft een opvallende metalen bij op de kraag voor een moderne look.,https://www.dior.com/nl_be/products/couture-963C556A1581_C000-katoenen-overhemd-metalen-bij,/heren/ready-to-wear/nieuw>,,"Katoenen overhemd, metalen bij","€450,00",nl_be,21.501455068588257,€
963C556A1581_C900,Dit overhemd van zwart katoenpopeline heeft een opvallende metalen bij op de kraag voor een moderne look.,https://www.dior.com/nl_be/products/couture-963C556A1581_C900-katoenen-overhemd-metalen-bij,/heren/ready-to-wear/nieuw>,,"Katoenen overhemd, metalen bij","€450,00",nl_be,21.71139693260193,€
