category,description,html,ierarch,is_available,name,price,region
,Ce pantalon de jogging zippé au bas est revisité dans une version en drap de laine bleu marine pour un look décontracté.,https://www.dior.com/fr_fr/products/couture-963C119E4408_C540-jogging-en-laine,/homme/pret-a-porter/nouveautes,,Jogging en laine,"900,00eur",fr_fr
,"Ce jean regular en denim stretch de coton bleu se distingue par sa plaque ""Christian Dior Atelier"" en métal à la poche ticket et assure ainsi un style moderne et intemporel. Le jacqueron de cuir noir embossé ""Dior"" au dos signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-963DS33T187X_C540-jean-en-coton-stretch-plaque-metal-christian-dior-atelier,/homme/pret-a-porter/nouveautes,,"Jean en coton stretch, Plaque métal ""Christian Dior Atelier""","590,00eur",fr_fr
,"Ce pantalon droit en serge de laine noire se distingue par ses plaques ""Christian Dior Atelier"" en métal et sa taille ajustable. Cette pièce assure ainsi un look contemporain.",https://www.dior.com/fr_fr/products/couture-963C142D4178_C900-pantalon-en-laine-plaques-christian-dior-atelier,/homme/pret-a-porter/nouveautes,,"Pantalon en laine, Plaques ""Christian Dior Atelier""","900,00eur",fr_fr
,Cette chemise en popeline stretch de coton blanc se distingue par ses détails de tissu changeant et de passepoil au col pour un look mode et élégant.,https://www.dior.com/fr_fr/products/couture-963C548K1223_C083-chemise-en-coton-stretch-opposition-tissu,/homme/pret-a-porter/nouveautes,,"Chemise en coton stretch, Opposition tissu","580,00eur",fr_fr
,"Cette chemise en popeline de coton noir se distingue par son ""Abeille"" en métal appliquée sur le col pour un look moderne.",https://www.dior.com/fr_fr/products/couture-963C556A1581_C900-chemise-en-coton-abeille-metal,/homme/pret-a-porter/nouveautes,,"Chemise en coton, ""Abeille"" métal","450,00eur",fr_fr
,"Cette chemise en popeline stretch de coton blanc se distingue par sa broderie ""Signature"" point main en contraste noir, pour un look élégant et contemporain.",https://www.dior.com/fr_fr/products/couture-433C529X1223_C089-chemise-en-coton-stretch-broderie-signature,/homme/pret-a-porter/nouveautes,,"Chemise en coton stretch, Broderie ""Signature""","480,00eur",fr_fr
,"Thème fort de la collection Printemps 2019, la broderie ""Dior by Dior"" noire est placée à la poitrine de cette chemise en popeline de coton blanc pour une allure mode.",https://www.dior.com/fr_fr/products/couture-433C529W3580_C089-chemise-en-coton-broderie-dior-by-dior,/homme/pret-a-porter/nouveautes,,"Chemise en coton, Broderie ""Dior By Dior""","550,00eur",fr_fr
,"""L'Abeille"", signature de la Maison Dior, est réinterprétée en broderie all-over ton sur ton sur cette chemise en popeline de coton blanc pour une allure mode.",https://www.dior.com/fr_fr/products/couture-563C574K4180_C000-chemise-en-coton-broderie-abeille,/homme/pret-a-porter/nouveautes,,"Chemise en coton, Broderie ""Abeille""","950,00eur",fr_fr
,"Thème fort de la collection Printemps 2019, la broderie ""Dior by Dior"" noire est placée au col de cette chemise en popeline de coton stretch blanc pour une allure mode et sophistiquée.",https://www.dior.com/fr_fr/products/couture-433C529W1135_C089-chemise-en-coton-stretch-broderie-dior-by-dior,/homme/pret-a-porter/nouveautes,,"Chemise en coton stretch, Broderie ""Dior by Dior""","500,00eur",fr_fr
,"Classique du vestiaire Dior, cette chemise en popeline de coton blanc se distingue par son col inversé pour un look contemporain et élégant.",https://www.dior.com/fr_fr/products/couture-733C516A1581_C000-chemise-en-coton-col-inverse,/homme/pret-a-porter/nouveautes,,"Chemise en coton, Col inversé","420,00eur",fr_fr
,Ce pull col roulé en maille double de laine noire se distingue par son détail de zip dévoilant une toile technique de nylon noir une fois ouvert. Ce détail subtil assure une allure moderne et élégante.,https://www.dior.com/fr_fr/products/couture-863M623ZT904_C900-pull-en-laine-detail-de-zip,/homme/pret-a-porter/nouveautes,,"Pull en laine, Détail de zip","850,00eur",fr_fr
,Ce pull col roulé en maille double de laine bleu marine se distingue par son détail de zip dévoilant une toile technique de nylon noir une fois ouvert. Ce détail subtil assure une allure moderne et élégante.,https://www.dior.com/fr_fr/products/couture-863M623ZT904_C542-pull-en-laine-detail-de-zip,/homme/pret-a-porter/nouveautes,,"Pull en laine, Détail de zip","850,00eur",fr_fr
,"Ce pull col rond en maille de laine bleue se distingue par ses boutons ""Abeille"" en métal placés à l'épaule gauche. Ses rayures bicolores assurent un look moderne et décontracté à cette pièce.",https://www.dior.com/fr_fr/products/couture-963M642KT928_C588-pull-en-laine-boutons-abeille,/homme/pret-a-porter/nouveautes,,"Pull en laine, Boutons ""Abeille""","1150,00eur",fr_fr
,"Ce pull col rond en maille fine de laine violette se distingue par son ""Abeille"" brodée en ton sur ton. Ce détail signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-733M601BT666_C440-pull-en-laine-broderie-abeille,/homme/pret-a-porter/nouveautes,,"Pull en laine, Broderie ""Abeille""","450,00eur",fr_fr
,"Cette chemise en popeline de coton blanc se distingue par son ""Abeille"" en métal appliquée sur le col pour un look moderne.",https://www.dior.com/fr_fr/products/couture-963C556A1581_C000-chemise-en-coton-abeille-metal,/homme/pret-a-porter/nouveautes,,"Chemise en coton, ""Abeille"" métal","450,00eur",fr_fr
,"Thème fort de la collection Printemps 2019, la broderie ""Dior by Dior"" blanche est placée à la poitrine de cette chemise en popeline de coton noir pour une allure mode.",https://www.dior.com/fr_fr/products/couture-433C529W3580_C980-chemise-en-coton-broderie-dior-by-dior,/homme/pret-a-porter/nouveautes,,"Chemise en coton, Broderie ""Dior By Dior""","550,00eur",fr_fr
,"Pull en jersey de laine noire avec patch visiteur ""Christian Dior""",https://www.dior.com/fr_fr/products/couture-923M649AT938_C980-pull-en-laine-patch-visiteur-christian-dior,/homme/pret-a-porter/nouveautes,,"Pull en laine, patch visiteur ""Christian Dior""","550,00eur",fr_fr
,"Cette parka en toile de nylon bordeaux est proposée dans un tissu technique avec effet changeant qui crée différents jeux de reflets et de couleurs, assurant une allure mode. ""L'Abeille"" en métal à la poitrine signe cette pièce de l'empreinte Dior.",https://www.dior.com/fr_fr/products/couture-833C301Z4418_C379-parka-en-nylon-effet-changeant,/homme/pret-a-porter/nouveautes,,"Parka en nylon, Effet Changeant","2300,00eur",fr_fr
